REPORTING_PERIOD,MEASURE_TYPE,MEASURE,CODE,CODE_DESCRIPTION,MEASURE_VALUE
2324,Activity by Main Speciaity Code,All Attendances,314,Rehabilitation,290911
2324,Activity by Main Speciaity Code,All Attendances,315,Palliative Medicine,141771
2324,Activity by Main Speciaity Code,All Attendances,317,Allergy,18989
2324,Activity by Main Speciaity Code,All Attendances,320,Cardiology,3532286
2324,Activity by Main Speciaity Code,All Attendances,321,Paediatric Cardiology,137524
2324,Activity by Main Speciaity Code,All Attendances,325,Sports & Exercise Medicine,10894
2324,Activity by Main Speciaity Code,All Attendances,326,Acute Internal Medicine,182981
2324,Activity by Main Speciaity Code,All Attendances,330,Dermatology,3346915
2324,Activity by Main Speciaity Code,All Attendances,340,Respiratory Medicine (Thoracic Medicine),2040989
2324,Activity by Main Speciaity Code,All Attendances,350,Infectious Diseases,170250
2324,Activity by Main Speciaity Code,All Attendances,352,Tropical Medicine,216
2324,Activity by Main Speciaity Code,All Attendances,360,Genitourinary Medicine,155019
2324,Activity by Main Speciaity Code,All Attendances,361,Nephrology,1034776
2324,Activity by Main Speciaity Code,All Attendances,370,Medical Oncology,2021537
2324,Activity by Main Speciaity Code,All Attendances,371,Nuclear Medicine,16971
2324,Activity by Main Speciaity Code,All Attendances,400,Neurology,1510496
2324,Activity by Main Speciaity Code,All Attendances,401,Clinical Neuro-physiology,196486
2324,Activity by Main Speciaity Code,All Attendances,410,Rheumatology,1768016
2324,Activity by Main Speciaity Code,All Attendances,420,Paediatrics,2844433
2324,Activity by Main Speciaity Code,All Attendances,421,Paediatric Neurology,54895
2324,Activity by Main Speciaity Code,All Attendances,430,Geriatric Medicine,390837
2324,Activity by Main Speciaity Code,All Attendances,450,Dental Medicine Specialties,103062
2324,Activity by Main Speciaity Code,All Attendances,451,Special Care Dentistry,12492
2324,Activity by Main Speciaity Code,All Attendances,460,Medical Ophthalmology,58865
2324,Activity by Main Speciaity Code,All Attendances,499,"Non-UK Provider; specialty function not known, treatment mainly medical",1
2324,Activity by Main Speciaity Code,All Attendances,501,Obstetrics,2875976
2324,Activity by Main Speciaity Code,All Attendances,502,Gynaecology,3660343
2324,Activity by Main Speciaity Code,All Attendances,504,Community Sexual & Reproductive Health,1307
2324,Activity by Main Speciaity Code,All Attendances,560,Midwife episode,3993414
2324,Activity by Main Speciaity Code,All Attendances,600,General Medical Practice,120178
2324,Activity by Main Speciaity Code,All Attendances,601,General Dental Practice,34735
2324,Activity by Main Speciaity Code,All Attendances,700,Learning Disability (previously MH),77632
2324,Activity by Main Speciaity Code,All Attendances,710,Adult Mental Illness,1261960
2324,Activity by Main Speciaity Code,All Attendances,711,Child & Adolescent Psychiatry,615078
2324,Activity by Main Speciaity Code,All Attendances,712,Forensic Psychiatry,17049
2324,Activity by Main Speciaity Code,All Attendances,713,Psychotherapy,28312
2324,Activity by Main Speciaity Code,All Attendances,715,Old Age Psychiatry,222023
2324,Activity by Main Speciaity Code,All Attendances,800,Clinical Oncology (previously Radiotherapy),2674009
2324,Activity by Main Speciaity Code,All Attendances,810,Radiology,5478814
2324,Activity by Main Speciaity Code,All Attendances,820,General Pathology,16020
2324,Activity by Main Speciaity Code,All Attendances,821,Blood Transfusion,24
2324,Activity by Main Speciaity Code,All Attendances,822,Chemical Pathology,87601
2324,Activity by Main Speciaity Code,All Attendances,823,Haematology,347537
2324,Activity by Main Speciaity Code,All Attendances,824,Histopathology,4669
2324,Activity by Main Speciaity Code,All Attendances,830,Immunopathology,6201
2324,Activity by Main Speciaity Code,All Attendances,831,Medical Microbiology & Virology,5488
2324,Activity by Main Speciaity Code,All Attendances,833,Medical Microbiology (Microbiology & Bacteriology),1605
2324,Activity by Main Speciaity Code,All Attendances,834,Medical Virology,6244
2324,Activity by Main Speciaity Code,All Attendances,900,Community Medicine,310129
2324,Activity by Main Speciaity Code,All Attendances,901,Occupational Medicine,18386
2324,Activity by Main Speciaity Code,All Attendances,902,Community Health Services Dental,2085
2324,Activity by Main Speciaity Code,All Attendances,903,Public Health Medicine,741
2324,Activity by Main Speciaity Code,All Attendances,950,Nursing episode,6729890
2324,Activity by Main Speciaity Code,All Attendances,960,Allied Health Professional Episode,12286956
2324,Activity by Main Speciaity Code,All Attendances,990,Joint Consultant Clinics (Retired 1 April 2004),2242
2324,Activity by Main Speciaity Code,All Attendances,&,Not Known,587288
2324,Activity by Main Speciaity Code,All Attendances,All,All,104634817
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,100,General Surgery,56
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,101,Urology,57
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,110,Trauma & Orthopaedics,107
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,120,"Ear, Nose & Throat (ENT)",74
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,130,Ophthalmology,5964
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,140,Oral Surgery,2
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,141,Restorative Dentistry,6
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,142,Paediatric Dentistry,1
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,143,Orthodontics,10
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,145,Oral & Maxillo Facial Surgery,17
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,300,General Medicine,169
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,301,Gastroenterology,17
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,303,Clinical Haematology,28
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,304,Clinical Physiology,26
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,320,Cardiology,24
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,321,Paediatric Cardiology,4
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,326,Acute Internal Medicine,1
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,330,Dermatology,99
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,340,Respiratory Medicine (Thoracic Medicine),8
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,400,Neurology,1
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,410,Rheumatology,32
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,420,Paediatrics,354
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,430,Geriatric Medicine,14
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,501,Obstetrics,53
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,502,Gynaecology,229
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,710,Adult Mental Illness,1
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,711,Child & Adolescent Psychiatry,2
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,800,Clinical Oncology (previously Radiotherapy),6
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,823,Haematology,4
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,950,Nursing episode,2
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,960,Allied Health Professional Episode,110
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,&,Not Known,317
2324,Activity by Main Speciaity Code,Attended but first/subsequent/tele unknown,All,All,7795
2324,Activity by Main Speciaity Code,Attended first appointment,100,General Surgery,1939664
2324,Activity by Main Speciaity Code,Attended first appointment,101,Urology,753620
2324,Activity by Main Speciaity Code,Attended first appointment,107,Vascular Surgery,23245
2324,Activity by Main Speciaity Code,Attended first appointment,110,Trauma & Orthopaedics,2083967
2324,Activity by Main Speciaity Code,Attended first appointment,120,"Ear, Nose & Throat (ENT)",1225965
2324,Activity by Main Speciaity Code,Attended first appointment,130,Ophthalmology,2242793
2324,Activity by Main Speciaity Code,Attended first appointment,140,Oral Surgery,311458
2324,Activity by Main Speciaity Code,Attended first appointment,141,Restorative Dentistry,42241
2324,Activity by Main Speciaity Code,Attended first appointment,142,Paediatric Dentistry,30194
2324,Activity by Main Speciaity Code,Attended first appointment,143,Orthodontics,57127
2324,Activity by Main Speciaity Code,Attended first appointment,145,Oral & Maxillo Facial Surgery,241060
2324,Activity by Main Speciaity Code,Attended first appointment,146,Endodontics,1754
2324,Activity by Main Speciaity Code,Attended first appointment,147,Periodontics,436
2324,Activity by Main Speciaity Code,Attended first appointment,148,Prosthodontics,487
2324,Activity by Main Speciaity Code,Attended first appointment,149,Surgical Dentistry,24
2324,Activity by Main Speciaity Code,Attended first appointment,150,Neurosurgery,116556
2324,Activity by Main Speciaity Code,Attended first appointment,160,Plastic Surgery,345027
2324,Activity by Main Speciaity Code,Attended first appointment,170,Cardiothoracic Surgery,51469
2324,Activity by Main Speciaity Code,Attended first appointment,171,Paediatric Surgery,57056
2324,Activity by Main Speciaity Code,Attended first appointment,180,Accident & Emergency (A&E),133574
2324,Activity by Main Speciaity Code,Attended first appointment,190,Anaesthetics,357739
2324,Activity by Main Speciaity Code,Attended first appointment,192,Critical Care Medicine,4168
2324,Activity by Main Speciaity Code,Attended first appointment,300,General Medicine,964260
2324,Activity by Main Speciaity Code,Attended first appointment,301,Gastroenterology,442331
2324,Activity by Main Speciaity Code,Attended first appointment,302,Endocrinology,174420
2324,Activity by Main Speciaity Code,Attended first appointment,303,Clinical Haematology,178965
2324,Activity by Main Speciaity Code,Attended first appointment,304,Clinical Physiology,212930
2324,Activity by Main Speciaity Code,Attended first appointment,305,Clinical Pharmacology,4092
2324,Activity by Main Speciaity Code,Attended first appointment,310,Audiological Medicine,225191
2324,Activity by Main Speciaity Code,Attended first appointment,311,Clinical Genetics,49167
2324,Activity by Main Speciaity Code,Attended first appointment,313,Clinical Immunology & Allergy,27198
2324,Activity by Main Speciaity Code,Attended first appointment,314,Rehabilitation,69129
2324,Activity by Main Speciaity Code,Attended first appointment,315,Palliative Medicine,17330
2324,Activity by Main Speciaity Code,Attended first appointment,317,Allergy,6128
2324,Activity by Main Speciaity Code,Attended first appointment,320,Cardiology,1327397
2324,Activity by Main Speciaity Code,Attended first appointment,321,Paediatric Cardiology,31339
2324,Activity by Main Speciaity Code,Attended first appointment,325,Sports & Exercise Medicine,2761
2324,Activity by Main Speciaity Code,Attended first appointment,326,Acute Internal Medicine,93333
2324,Activity by Main Speciaity Code,Attended first appointment,330,Dermatology,1196637
2324,Activity by Main Speciaity Code,Attended first appointment,340,Respiratory Medicine (Thoracic Medicine),565082
2324,Activity by Main Speciaity Code,Attended first appointment,350,Infectious Diseases,32940
2324,Activity by Main Speciaity Code,Attended first appointment,352,Tropical Medicine,98
2324,Activity by Main Speciaity Code,Attended first appointment,360,Genitourinary Medicine,19466
2324,Activity by Main Speciaity Code,Attended first appointment,361,Nephrology,96847
2324,Activity by Main Speciaity Code,Attended first appointment,370,Medical Oncology,136971
2324,Activity by Main Speciaity Code,Attended first appointment,371,Nuclear Medicine,7388
2324,Activity by Main Speciaity Code,Attended first appointment,400,Neurology,425540
2324,Activity by Main Speciaity Code,Attended first appointment,401,Clinical Neuro-physiology,165849
2324,Activity by Main Speciaity Code,Attended first appointment,410,Rheumatology,295909
2324,Activity by Main Speciaity Code,Attended first appointment,420,Paediatrics,1015831
2324,Activity by Main Speciaity Code,Attended first appointment,421,Paediatric Neurology,15160
2324,Activity by Main Speciaity Code,Attended first appointment,430,Geriatric Medicine,149802
2324,Activity by Main Speciaity Code,Attended first appointment,450,Dental Medicine Specialties,25821
2324,Activity by Main Speciaity Code,Attended first appointment,451,Special Care Dentistry,3664
2324,Activity by Main Speciaity Code,Attended first appointment,460,Medical Ophthalmology,12614
2324,Activity by Main Speciaity Code,Attended first appointment,499,"Non-UK Provider; specialty function not known, treatment mainly medical",1
2324,Activity by Main Speciaity Code,Attended first appointment,501,Obstetrics,802401
2324,Activity by Main Speciaity Code,Attended first appointment,502,Gynaecology,1498379
2324,Activity by Main Speciaity Code,Attended first appointment,504,Community Sexual & Reproductive Health,306
2324,Activity by Main Speciaity Code,Attended first appointment,560,Midwife episode,749202
2324,Activity by Main Speciaity Code,Attended first appointment,600,General Medical Practice,89466
2324,Activity by Main Speciaity Code,Attended first appointment,601,General Dental Practice,4351
2324,Activity by Main Speciaity Code,Attended first appointment,700,Learning Disability (previously MH),7752
2324,Activity by Main Speciaity Code,Attended first appointment,710,Adult Mental Illness,138464
2324,Activity by Main Speciaity Code,Attended first appointment,711,Child & Adolescent Psychiatry,58682
2324,Activity by Main Speciaity Code,Attended first appointment,712,Forensic Psychiatry,2328
2324,Activity by Main Speciaity Code,Attended first appointment,713,Psychotherapy,1626
2324,Activity by Main Speciaity Code,Attended first appointment,715,Old Age Psychiatry,38489
2324,Activity by Main Speciaity Code,Attended first appointment,800,Clinical Oncology (previously Radiotherapy),238080
2324,Activity by Main Speciaity Code,Attended first appointment,810,Radiology,3071990
2324,Activity by Main Speciaity Code,Attended first appointment,820,General Pathology,1027
2324,Activity by Main Speciaity Code,Attended first appointment,821,Blood Transfusion,1
2324,Activity by Main Speciaity Code,Attended first appointment,822,Chemical Pathology,19749
2324,Activity by Main Speciaity Code,Attended first appointment,823,Haematology,25040
2324,Activity by Main Speciaity Code,Attended first appointment,824,Histopathology,297
2324,Activity by Main Speciaity Code,Attended first appointment,830,Immunopathology,1561
2324,Activity by Main Speciaity Code,Attended first appointment,831,Medical Microbiology & Virology,853
2324,Activity by Main Speciaity Code,Attended first appointment,833,Medical Microbiology (Microbiology & Bacteriology),679
2324,Activity by Main Speciaity Code,Attended first appointment,834,Medical Virology,1312
2324,Activity by Main Speciaity Code,Attended first appointment,900,Community Medicine,79860
2324,Activity by Main Speciaity Code,Attended first appointment,901,Occupational Medicine,5443
2324,Activity by Main Speciaity Code,Attended first appointment,902,Community Health Services Dental,492
2324,Activity by Main Speciaity Code,Attended first appointment,903,Public Health Medicine,297
2324,Activity by Main Speciaity Code,Attended first appointment,950,Nursing episode,1096304
2324,Activity by Main Speciaity Code,Attended first appointment,960,Allied Health Professional Episode,3482506
2324,Activity by Main Speciaity Code,Attended first appointment,990,Joint Consultant Clinics (Retired 1 April 2004),813
2324,Activity by Main Speciaity Code,Attended first appointment,&,Not Known,92255
2324,Activity by Main Speciaity Code,Attended first appointment,All,All,29521220
2324,Activity by Main Speciaity Code,Attended first tele consultation,100,General Surgery,367877
2324,Activity by Main Speciaity Code,Attended first tele consultation,101,Urology,163825
2324,Activity by Main Speciaity Code,Attended first tele consultation,107,Vascular Surgery,1443
2324,Activity by Main Speciaity Code,Attended first tele consultation,110,Trauma & Orthopaedics,541218
2324,Activity by Main Speciaity Code,Attended first tele consultation,120,"Ear, Nose & Throat (ENT)",65383
2324,Activity by Main Speciaity Code,Attended first tele consultation,130,Ophthalmology,165655
2324,Activity by Main Speciaity Code,Attended first tele consultation,140,Oral Surgery,7928
2324,Activity by Main Speciaity Code,Attended first tele consultation,141,Restorative Dentistry,2963
2324,Activity by Main Speciaity Code,Attended first tele consultation,142,Paediatric Dentistry,3164
2324,Activity by Main Speciaity Code,Attended first tele consultation,143,Orthodontics,412
2324,Activity by Main Speciaity Code,Attended first tele consultation,145,Oral & Maxillo Facial Surgery,6882
2324,Activity by Main Speciaity Code,Attended first tele consultation,146,Endodontics,917
2324,Activity by Main Speciaity Code,Attended first tele consultation,147,Periodontics,403
2324,Activity by Main Speciaity Code,Attended first tele consultation,148,Prosthodontics,145
2324,Activity by Main Speciaity Code,Attended first tele consultation,149,Surgical Dentistry,4
2324,Activity by Main Speciaity Code,Attended first tele consultation,150,Neurosurgery,35314
2324,Activity by Main Speciaity Code,Attended first tele consultation,160,Plastic Surgery,27278
2324,Activity by Main Speciaity Code,Attended first tele consultation,170,Cardiothoracic Surgery,8275
2324,Activity by Main Speciaity Code,Attended first tele consultation,171,Paediatric Surgery,4433
2324,Activity by Main Speciaity Code,Attended first tele consultation,180,Accident & Emergency (A&E),2786
2324,Activity by Main Speciaity Code,Attended first tele consultation,190,Anaesthetics,124182
2324,Activity by Main Speciaity Code,Attended first tele consultation,192,Critical Care Medicine,1952
2324,Activity by Main Speciaity Code,Attended first tele consultation,300,General Medicine,296240
2324,Activity by Main Speciaity Code,Attended first tele consultation,301,Gastroenterology,327683
2324,Activity by Main Speciaity Code,Attended first tele consultation,302,Endocrinology,57934
2324,Activity by Main Speciaity Code,Attended first tele consultation,303,Clinical Haematology,71520
2324,Activity by Main Speciaity Code,Attended first tele consultation,304,Clinical Physiology,443
2324,Activity by Main Speciaity Code,Attended first tele consultation,305,Clinical Pharmacology,1226
2324,Activity by Main Speciaity Code,Attended first tele consultation,310,Audiological Medicine,12261
2324,Activity by Main Speciaity Code,Attended first tele consultation,311,Clinical Genetics,23193
2324,Activity by Main Speciaity Code,Attended first tele consultation,313,Clinical Immunology & Allergy,8866
2324,Activity by Main Speciaity Code,Attended first tele consultation,314,Rehabilitation,9787
2324,Activity by Main Speciaity Code,Attended first tele consultation,315,Palliative Medicine,7098
2324,Activity by Main Speciaity Code,Attended first tele consultation,317,Allergy,1572
2324,Activity by Main Speciaity Code,Attended first tele consultation,320,Cardiology,258129
2324,Activity by Main Speciaity Code,Attended first tele consultation,321,Paediatric Cardiology,1065
2324,Activity by Main Speciaity Code,Attended first tele consultation,325,Sports & Exercise Medicine,282
2324,Activity by Main Speciaity Code,Attended first tele consultation,326,Acute Internal Medicine,10732
2324,Activity by Main Speciaity Code,Attended first tele consultation,330,Dermatology,99110
2324,Activity by Main Speciaity Code,Attended first tele consultation,340,Respiratory Medicine (Thoracic Medicine),142347
2324,Activity by Main Speciaity Code,Attended first tele consultation,350,Infectious Diseases,7279
2324,Activity by Main Speciaity Code,Attended first tele consultation,352,Tropical Medicine,2
2324,Activity by Main Speciaity Code,Attended first tele consultation,360,Genitourinary Medicine,2017
2324,Activity by Main Speciaity Code,Attended first tele consultation,361,Nephrology,16148
2324,Activity by Main Speciaity Code,Attended first tele consultation,370,Medical Oncology,25212
2324,Activity by Main Speciaity Code,Attended first tele consultation,371,Nuclear Medicine,708
2324,Activity by Main Speciaity Code,Attended first tele consultation,400,Neurology,114517
2324,Activity by Main Speciaity Code,Attended first tele consultation,401,Clinical Neuro-physiology,3163
2324,Activity by Main Speciaity Code,Attended first tele consultation,410,Rheumatology,39709
2324,Activity by Main Speciaity Code,Attended first tele consultation,420,Paediatrics,90006
2324,Activity by Main Speciaity Code,Attended first tele consultation,421,Paediatric Neurology,1143
2324,Activity by Main Speciaity Code,Attended first tele consultation,430,Geriatric Medicine,37587
2324,Activity by Main Speciaity Code,Attended first tele consultation,450,Dental Medicine Specialties,2140
2324,Activity by Main Speciaity Code,Attended first tele consultation,451,Special Care Dentistry,21
2324,Activity by Main Speciaity Code,Attended first tele consultation,460,Medical Ophthalmology,235
2324,Activity by Main Speciaity Code,Attended first tele consultation,501,Obstetrics,76318
2324,Activity by Main Speciaity Code,Attended first tele consultation,502,Gynaecology,161081
2324,Activity by Main Speciaity Code,Attended first tele consultation,504,Community Sexual & Reproductive Health,237
2324,Activity by Main Speciaity Code,Attended first tele consultation,560,Midwife episode,43398
2324,Activity by Main Speciaity Code,Attended first tele consultation,600,General Medical Practice,1371
2324,Activity by Main Speciaity Code,Attended first tele consultation,601,General Dental Practice,964
2324,Activity by Main Speciaity Code,Attended first tele consultation,700,Learning Disability (previously MH),2086
2324,Activity by Main Speciaity Code,Attended first tele consultation,710,Adult Mental Illness,39977
2324,Activity by Main Speciaity Code,Attended first tele consultation,711,Child & Adolescent Psychiatry,24396
2324,Activity by Main Speciaity Code,Attended first tele consultation,712,Forensic Psychiatry,211
2324,Activity by Main Speciaity Code,Attended first tele consultation,713,Psychotherapy,2334
2324,Activity by Main Speciaity Code,Attended first tele consultation,715,Old Age Psychiatry,5371
2324,Activity by Main Speciaity Code,Attended first tele consultation,800,Clinical Oncology (previously Radiotherapy),45337
2324,Activity by Main Speciaity Code,Attended first tele consultation,810,Radiology,11856
2324,Activity by Main Speciaity Code,Attended first tele consultation,820,General Pathology,378
2324,Activity by Main Speciaity Code,Attended first tele consultation,821,Blood Transfusion,1
2324,Activity by Main Speciaity Code,Attended first tele consultation,822,Chemical Pathology,9777
2324,Activity by Main Speciaity Code,Attended first tele consultation,823,Haematology,16409
2324,Activity by Main Speciaity Code,Attended first tele consultation,824,Histopathology,675
2324,Activity by Main Speciaity Code,Attended first tele consultation,830,Immunopathology,539
2324,Activity by Main Speciaity Code,Attended first tele consultation,831,Medical Microbiology & Virology,982
2324,Activity by Main Speciaity Code,Attended first tele consultation,833,Medical Microbiology (Microbiology & Bacteriology),133
2324,Activity by Main Speciaity Code,Attended first tele consultation,834,Medical Virology,148
2324,Activity by Main Speciaity Code,Attended first tele consultation,900,Community Medicine,10348
2324,Activity by Main Speciaity Code,Attended first tele consultation,901,Occupational Medicine,402
2324,Activity by Main Speciaity Code,Attended first tele consultation,902,Community Health Services Dental,3
2324,Activity by Main Speciaity Code,Attended first tele consultation,903,Public Health Medicine,17
2324,Activity by Main Speciaity Code,Attended first tele consultation,950,Nursing episode,401114
2324,Activity by Main Speciaity Code,Attended first tele consultation,960,Allied Health Professional Episode,402505
2324,Activity by Main Speciaity Code,Attended first tele consultation,990,Joint Consultant Clinics (Retired 1 April 2004),112
2324,Activity by Main Speciaity Code,Attended first tele consultation,&,Not Known,13392
2324,Activity by Main Speciaity Code,Attended first tele consultation,All,All,4473686
2324,Activity by Main Speciaity Code,Attended subsequent appointment,100,General Surgery,1939864
2324,Activity by Main Speciaity Code,Attended subsequent appointment,101,Urology,1170490
2324,Activity by Main Speciaity Code,Attended subsequent appointment,107,Vascular Surgery,18587
2324,Activity by Main Speciaity Code,Attended subsequent appointment,110,Trauma & Orthopaedics,4201711
2324,Activity by Main Speciaity Code,Attended subsequent appointment,120,"Ear, Nose & Throat (ENT)",1304727
2324,Activity by Main Speciaity Code,Attended subsequent appointment,130,Ophthalmology,6102762
2324,Activity by Main Speciaity Code,Attended subsequent appointment,140,Oral Surgery,368336
2324,Activity by Main Speciaity Code,Attended subsequent appointment,141,Restorative Dentistry,210805
2324,Activity by Main Speciaity Code,Attended subsequent appointment,142,Paediatric Dentistry,61512
2324,Activity by Main Speciaity Code,Attended subsequent appointment,143,Orthodontics,518009
2324,Activity by Main Speciaity Code,Attended subsequent appointment,145,Oral & Maxillo Facial Surgery,307652
2324,Activity by Main Speciaity Code,Attended subsequent appointment,146,Endodontics,14730
2324,Activity by Main Speciaity Code,Attended subsequent appointment,147,Periodontics,9394
2324,Activity by Main Speciaity Code,Attended subsequent appointment,148,Prosthodontics,2083
2324,Activity by Main Speciaity Code,Attended subsequent appointment,149,Surgical Dentistry,49
2324,Activity by Main Speciaity Code,Attended subsequent appointment,150,Neurosurgery,167811
2324,Activity by Main Speciaity Code,Attended subsequent appointment,160,Plastic Surgery,631594
2324,Activity by Main Speciaity Code,Attended subsequent appointment,170,Cardiothoracic Surgery,98725
2324,Activity by Main Speciaity Code,Attended subsequent appointment,171,Paediatric Surgery,61923
2324,Activity by Main Speciaity Code,Attended subsequent appointment,180,Accident & Emergency (A&E),40360
2324,Activity by Main Speciaity Code,Attended subsequent appointment,190,Anaesthetics,558888
2324,Activity by Main Speciaity Code,Attended subsequent appointment,192,Critical Care Medicine,6850
2324,Activity by Main Speciaity Code,Attended subsequent appointment,300,General Medicine,2073850
2324,Activity by Main Speciaity Code,Attended subsequent appointment,301,Gastroenterology,578759
2324,Activity by Main Speciaity Code,Attended subsequent appointment,302,Endocrinology,502241
2324,Activity by Main Speciaity Code,Attended subsequent appointment,303,Clinical Haematology,1308785
2324,Activity by Main Speciaity Code,Attended subsequent appointment,304,Clinical Physiology,88202
2324,Activity by Main Speciaity Code,Attended subsequent appointment,305,Clinical Pharmacology,6482
2324,Activity by Main Speciaity Code,Attended subsequent appointment,310,Audiological Medicine,289692
2324,Activity by Main Speciaity Code,Attended subsequent appointment,311,Clinical Genetics,26808
2324,Activity by Main Speciaity Code,Attended subsequent appointment,313,Clinical Immunology & Allergy,40551
2324,Activity by Main Speciaity Code,Attended subsequent appointment,314,Rehabilitation,184087
2324,Activity by Main Speciaity Code,Attended subsequent appointment,315,Palliative Medicine,54965
2324,Activity by Main Speciaity Code,Attended subsequent appointment,317,Allergy,6716
2324,Activity by Main Speciaity Code,Attended subsequent appointment,320,Cardiology,1347135
2324,Activity by Main Speciaity Code,Attended subsequent appointment,321,Paediatric Cardiology,90587
2324,Activity by Main Speciaity Code,Attended subsequent appointment,325,Sports & Exercise Medicine,6229
2324,Activity by Main Speciaity Code,Attended subsequent appointment,326,Acute Internal Medicine,60389
2324,Activity by Main Speciaity Code,Attended subsequent appointment,330,Dermatology,1857373
2324,Activity by Main Speciaity Code,Attended subsequent appointment,340,Respiratory Medicine (Thoracic Medicine),887222
2324,Activity by Main Speciaity Code,Attended subsequent appointment,350,Infectious Diseases,104219
2324,Activity by Main Speciaity Code,Attended subsequent appointment,352,Tropical Medicine,110
2324,Activity by Main Speciaity Code,Attended subsequent appointment,360,Genitourinary Medicine,111577
2324,Activity by Main Speciaity Code,Attended subsequent appointment,361,Nephrology,739640
