REPORTING_PERIOD,MEASURE_TYPE,MEASURE,MAINSPEF_CODE,MAINSPEF_DESCRIPTION,MEASURE_VALUE
2324,All Attendances by Age and Gender,45-49 Male,All,All,1849157
2324,All Attendances by Age and Gender,50-54 All Genders,All,All,6423486
2324,All Attendances by Age and Gender,50-54 Female,All,All,3815274
2324,All Attendances by Age and Gender,50-54 Male,All,All,2540034
2324,All Attendances by Age and Gender,55-59 All Genders,All,All,7773460
2324,All Attendances by Age and Gender,55-59 Female,All,All,4359949
2324,All Attendances by Age and Gender,55-59 Male,All,All,3333073
2324,All Attendances by Age and Gender,5-9 All Genders,All,All,2581474
2324,All Attendances by Age and Gender,5-9 Female,All,All,1141471
2324,All Attendances by Age and Gender,5-9 Male,All,All,1410307
2324,All Attendances by Age and Gender,60-64 All Genders,All,All,8376431
2324,All Attendances by Age and Gender,60-64 Female,All,All,4411413
2324,All Attendances by Age and Gender,60-64 Male,All,All,3878001
2324,All Attendances by Age and Gender,65-69 All Genders,All,All,8295250
2324,All Attendances by Age and Gender,65-69 Female,All,All,4182910
2324,All Attendances by Age and Gender,65-69 Male,All,All,4032221
2324,All Attendances by Age and Gender,70-74 All Genders,All,All,8627267
2324,All Attendances by Age and Gender,70-74 Female,All,All,4299472
2324,All Attendances by Age and Gender,70-74 Male,All,All,4254288
2324,All Attendances by Age and Gender,75-79 All Genders,All,All,9397899
2324,All Attendances by Age and Gender,75-79 Female,All,All,4697363
2324,All Attendances by Age and Gender,75-79 Male,All,All,4631228
2324,All Attendances by Age and Gender,80-84 All Genders,All,All,6376192
2324,All Attendances by Age and Gender,80-84 Female,All,All,3279265
2324,All Attendances by Age and Gender,80-84 Male,All,All,3054982
2324,All Attendances by Age and Gender,85-89 All Genders,All,All,3983727
2324,All Attendances by Age and Gender,85-89 Female,All,All,2120920
2324,All Attendances by Age and Gender,85-89 Male,All,All,1840783
2324,All Attendances by Age and Gender,90-120 All Genders,All,All,1845085
2324,All Attendances by Age and Gender,90-120 Female,All,All,1087283
2324,All Attendances by Age and Gender,90-120 Male,All,All,749298
2324,All Attendances by Age and Gender,Age Unknown All Genders,All,All,534571
2324,All Attendances by Age and Gender,Age Unknown Female,All,All,276025
2324,All Attendances by Age and Gender,Age Unknown Male,All,All,227677
2324,First Attendances by Age and Gender,0 All Genders,All,All,591350
2324,First Attendances by Age and Gender,0 Female,All,All,265109
2324,First Attendances by Age and Gender,0 Male,All,All,319806
2324,First Attendances by Age and Gender,10-14 All Genders,All,All,919372
2324,First Attendances by Age and Gender,10-14 Female,All,All,422118
2324,First Attendances by Age and Gender,10-14 Male,All,All,487916
2324,First Attendances by Age and Gender,1-4 All Genders,All,All,789291
2324,First Attendances by Age and Gender,1-4 Female,All,All,332208
2324,First Attendances by Age and Gender,1-4 Male,All,All,448390
2324,First Attendances by Age and Gender,15 All Genders,All,All,207992
2324,First Attendances by Age and Gender,15 Female,All,All,102092
2324,First Attendances by Age and Gender,15 Male,All,All,104038
2324,First Attendances by Age and Gender,16 All Genders,All,All,182982
2324,First Attendances by Age and Gender,16 Female,All,All,93474
2324,First Attendances by Age and Gender,16 Male,All,All,87501
2324,First Attendances by Age and Gender,17 All Genders,All,All,184093
2324,First Attendances by Age and Gender,17 Female,All,All,99824
2324,First Attendances by Age and Gender,17 Male,All,All,82267
2324,First Attendances by Age and Gender,18 All Genders,All,All,176096
2324,First Attendances by Age and Gender,18 Female,All,All,104065
2324,First Attendances by Age and Gender,18 Male,All,All,70380
2324,First Attendances by Age and Gender,19 All Genders,All,All,180809
2324,First Attendances by Age and Gender,19 Female,All,All,115206
2324,First Attendances by Age and Gender,19 Male,All,All,64025
2324,First Attendances by Age and Gender,20-24 All Genders,All,All,1134742
2324,First Attendances by Age and Gender,20-24 Female,All,All,791510
2324,First Attendances by Age and Gender,20-24 Male,All,All,333227
2324,First Attendances by Age and Gender,25-29 All Genders,All,All,1795607
2324,First Attendances by Age and Gender,25-29 Female,All,All,1354535
2324,First Attendances by Age and Gender,25-29 Male,All,All,423778
2324,First Attendances by Age and Gender,30-34 All Genders,All,All,2253595
2324,First Attendances by Age and Gender,30-34 Female,All,All,1715294
2324,First Attendances by Age and Gender,30-34 Male,All,All,518684
2324,First Attendances by Age and Gender,35-39 All Genders,All,All,2075949
2324,First Attendances by Age and Gender,35-39 Female,All,All,1492108
2324,First Attendances by Age and Gender,35-39 Male,All,All,565625
2324,First Attendances by Age and Gender,40-44 All Genders,All,All,1817047
2324,First Attendances by Age and Gender,40-44 Female,All,All,1187341
2324,First Attendances by Age and Gender,40-44 Male,All,All,612226
2324,First Attendances by Age and Gender,45-49 All Genders,All,All,1734704
2324,First Attendances by Age and Gender,45-49 Female,All,All,1079038
2324,First Attendances by Age and Gender,45-49 Male,All,All,638560
2324,First Attendances by Age and Gender,50-54 All Genders,All,All,2196512
2324,First Attendances by Age and Gender,50-54 Female,All,All,1339516
2324,First Attendances by Age and Gender,50-54 Male,All,All,836463
2324,First Attendances by Age and Gender,55-59 All Genders,All,All,2558511
2324,First Attendances by Age and Gender,55-59 Female,All,All,1476113
2324,First Attendances by Age and Gender,55-59 Male,All,All,1058956
2324,First Attendances by Age and Gender,5-9 All Genders,All,All,888970
2324,First Attendances by Age and Gender,5-9 Female,All,All,401201
2324,First Attendances by Age and Gender,5-9 Male,All,All,478125
2324,First Attendances by Age and Gender,60-64 All Genders,All,All,2648347
2324,First Attendances by Age and Gender,60-64 Female,All,All,1433687
2324,First Attendances by Age and Gender,60-64 Male,All,All,1189837
2324,First Attendances by Age and Gender,65-69 All Genders,All,All,2534513
2324,First Attendances by Age and Gender,65-69 Female,All,All,1317899
2324,First Attendances by Age and Gender,65-69 Male,All,All,1193765
2324,First Attendances by Age and Gender,70-74 All Genders,All,All,2591457
2324,First Attendances by Age and Gender,70-74 Female,All,All,1338577
2324,First Attendances by Age and Gender,70-74 Male,All,All,1231785
2324,First Attendances by Age and Gender,75-79 All Genders,All,All,2790882
2324,First Attendances by Age and Gender,75-79 Female,All,All,1446017
2324,First Attendances by Age and Gender,75-79 Male,All,All,1325471
2324,First Attendances by Age and Gender,80-84 All Genders,All,All,1897455
2324,First Attendances by Age and Gender,80-84 Female,All,All,1003615
2324,First Attendances by Age and Gender,80-84 Male,All,All,882136
2324,First Attendances by Age and Gender,85-89 All Genders,All,All,1183500
2324,First Attendances by Age and Gender,85-89 Female,All,All,641292
2324,First Attendances by Age and Gender,85-89 Male,All,All,536233
2324,First Attendances by Age and Gender,90-120 All Genders,All,All,525906
2324,First Attendances by Age and Gender,90-120 Female,All,All,311765
2324,First Attendances by Age and Gender,90-120 Male,All,All,211515
2324,First Attendances by Age and Gender,Age Unknown All Genders,All,All,135224
2324,First Attendances by Age and Gender,Age Unknown Female,All,All,73260
2324,First Attendances by Age and Gender,Age Unknown Male,All,All,54398
2324,All Attendances by Age and Gender,0 All Genders,&,Not Known,43408
2324,All Attendances by Age and Gender,0 Female,&,Not Known,20379
2324,All Attendances by Age and Gender,0 Male,&,Not Known,22970
2324,All Attendances by Age and Gender,10-14 All Genders,&,Not Known,35773
2324,All Attendances by Age and Gender,10-14 Female,&,Not Known,17791
2324,All Attendances by Age and Gender,10-14 Male,&,Not Known,17880
2324,All Attendances by Age and Gender,1-4 All Genders,&,Not Known,88563
2324,All Attendances by Age and Gender,1-4 Female,&,Not Known,40329
2324,All Attendances by Age and Gender,1-4 Male,&,Not Known,48110
2324,All Attendances by Age and Gender,15 All Genders,&,Not Known,12312
2324,All Attendances by Age and Gender,15 Female,&,Not Known,7120
2324,All Attendances by Age and Gender,15 Male,&,Not Known,5174
2324,All Attendances by Age and Gender,16 All Genders,&,Not Known,12380
2324,All Attendances by Age and Gender,16 Female,&,Not Known,7055
2324,All Attendances by Age and Gender,16 Male,&,Not Known,5299
2324,All Attendances by Age and Gender,17 All Genders,&,Not Known,10523
2324,All Attendances by Age and Gender,17 Female,&,Not Known,6500
2324,All Attendances by Age and Gender,17 Male,&,Not Known,4002
2324,All Attendances by Age and Gender,18 All Genders,&,Not Known,5673
2324,All Attendances by Age and Gender,18 Female,&,Not Known,3138
2324,All Attendances by Age and Gender,18 Male,&,Not Known,2525
2324,All Attendances by Age and Gender,19 All Genders,&,Not Known,2662
2324,All Attendances by Age and Gender,19 Female,&,Not Known,1486
2324,All Attendances by Age and Gender,19 Male,&,Not Known,1173
2324,All Attendances by Age and Gender,20-24 All Genders,&,Not Known,12481
2324,All Attendances by Age and Gender,20-24 Female,&,Not Known,9349
2324,All Attendances by Age and Gender,20-24 Male,&,Not Known,3069
2324,All Attendances by Age and Gender,25-29 All Genders,&,Not Known,24199
2324,All Attendances by Age and Gender,25-29 Female,&,Not Known,20249
2324,All Attendances by Age and Gender,25-29 Male,&,Not Known,3870
2324,All Attendances by Age and Gender,30-34 All Genders,&,Not Known,35918
2324,All Attendances by Age and Gender,30-34 Female,&,Not Known,30497
2324,All Attendances by Age and Gender,30-34 Male,&,Not Known,5304
2324,All Attendances by Age and Gender,35-39 All Genders,&,Not Known,29589
2324,All Attendances by Age and Gender,35-39 Female,&,Not Known,23880
2324,All Attendances by Age and Gender,35-39 Male,&,Not Known,5588
2324,All Attendances by Age and Gender,40-44 All Genders,&,Not Known,18331
2324,All Attendances by Age and Gender,40-44 Female,&,Not Known,13170
2324,All Attendances by Age and Gender,40-44 Male,&,Not Known,5059
2324,All Attendances by Age and Gender,45-49 All Genders,&,Not Known,13239
2324,All Attendances by Age and Gender,45-49 Female,&,Not Known,7983
2324,All Attendances by Age and Gender,45-49 Male,&,Not Known,5124
2324,All Attendances by Age and Gender,50-54 All Genders,&,Not Known,15887
2324,All Attendances by Age and Gender,50-54 Female,&,Not Known,9006
2324,All Attendances by Age and Gender,50-54 Male,&,Not Known,6677
2324,All Attendances by Age and Gender,55-59 All Genders,&,Not Known,17783
2324,All Attendances by Age and Gender,55-59 Female,&,Not Known,9733
2324,All Attendances by Age and Gender,55-59 Male,&,Not Known,7828
2324,All Attendances by Age and Gender,5-9 All Genders,&,Not Known,19942
2324,All Attendances by Age and Gender,5-9 Female,&,Not Known,7799
2324,All Attendances by Age and Gender,5-9 Male,&,Not Known,12043
2324,All Attendances by Age and Gender,60-64 All Genders,&,Not Known,20065
2324,All Attendances by Age and Gender,60-64 Female,&,Not Known,10814
2324,All Attendances by Age and Gender,60-64 Male,&,Not Known,9002
2324,All Attendances by Age and Gender,65-69 All Genders,&,Not Known,19940
2324,All Attendances by Age and Gender,65-69 Female,&,Not Known,10583
2324,All Attendances by Age and Gender,65-69 Male,&,Not Known,9128
2324,All Attendances by Age and Gender,70-74 All Genders,&,Not Known,22711
2324,All Attendances by Age and Gender,70-74 Female,&,Not Known,12041
2324,All Attendances by Age and Gender,70-74 Male,&,Not Known,10419
2324,All Attendances by Age and Gender,75-79 All Genders,&,Not Known,33220
2324,All Attendances by Age and Gender,75-79 Female,&,Not Known,18133
2324,All Attendances by Age and Gender,75-79 Male,&,Not Known,14734
2324,All Attendances by Age and Gender,80-84 All Genders,&,Not Known,32861
2324,All Attendances by Age and Gender,80-84 Female,&,Not Known,18431
2324,All Attendances by Age and Gender,80-84 Male,&,Not Known,14167
2324,All Attendances by Age and Gender,85-89 All Genders,&,Not Known,29777
2324,All Attendances by Age and Gender,85-89 Female,&,Not Known,17725
2324,All Attendances by Age and Gender,85-89 Male,&,Not Known,11884
2324,All Attendances by Age and Gender,90-120 All Genders,&,Not Known,29849
2324,All Attendances by Age and Gender,90-120 Female,&,Not Known,19645
2324,All Attendances by Age and Gender,90-120 Male,&,Not Known,10137
2324,All Attendances by Age and Gender,Age Unknown All Genders,&,Not Known,202
2324,All Attendances by Age and Gender,Age Unknown Female,&,Not Known,126
2324,All Attendances by Age and Gender,Age Unknown Male,&,Not Known,75
2324,First Attendances by Age and Gender,0 All Genders,&,Not Known,4572
2324,First Attendances by Age and Gender,0 Female,&,Not Known,2189
2324,First Attendances by Age and Gender,0 Male,&,Not Known,2334
2324,First Attendances by Age and Gender,10-14 All Genders,&,Not Known,7893
2324,First Attendances by Age and Gender,10-14 Female,&,Not Known,4171
2324,First Attendances by Age and Gender,10-14 Male,&,Not Known,3631
2324,First Attendances by Age and Gender,1-4 All Genders,&,Not Known,7030
2324,First Attendances by Age and Gender,1-4 Female,&,Not Known,2697
2324,First Attendances by Age and Gender,1-4 Male,&,Not Known,4241
2324,First Attendances by Age and Gender,15 All Genders,&,Not Known,3048
2324,First Attendances by Age and Gender,15 Female,&,Not Known,1871
2324,First Attendances by Age and Gender,15 Male,&,Not Known,1162
2324,First Attendances by Age and Gender,16 All Genders,&,Not Known,3453
2324,First Attendances by Age and Gender,16 Female,&,Not Known,2183
2324,First Attendances by Age and Gender,16 Male,&,Not Known,1259
2324,First Attendances by Age and Gender,17 All Genders,&,Not Known,3658
2324,First Attendances by Age and Gender,17 Female,&,Not Known,2343
2324,First Attendances by Age and Gender,17 Male,&,Not Known,1297
2324,First Attendances by Age and Gender,18 All Genders,&,Not Known,1749
2324,First Attendances by Age and Gender,18 Female,&,Not Known,1097
2324,First Attendances by Age and Gender,18 Male,&,Not Known,644
2324,First Attendances by Age and Gender,19 All Genders,&,Not Known,563
2324,First Attendances by Age and Gender,19 Female,&,Not Known,318
2324,First Attendances by Age and Gender,19 Male,&,Not Known,243
2324,First Attendances by Age and Gender,20-24 All Genders,&,Not Known,2237
2324,First Attendances by Age and Gender,20-24 Female,&,Not Known,1404
2324,First Attendances by Age and Gender,20-24 Male,&,Not Known,798
2324,First Attendances by Age and Gender,25-29 All Genders,&,Not Known,3219
2324,First Attendances by Age and Gender,25-29 Female,&,Not Known,2285
2324,First Attendances by Age and Gender,25-29 Male,&,Not Known,895
2324,First Attendances by Age and Gender,30-34 All Genders,&,Not Known,4405
2324,First Attendances by Age and Gender,30-34 Female,&,Not Known,3206
2324,First Attendances by Age and Gender,30-34 Male,&,Not Known,1156
2324,First Attendances by Age and Gender,35-39 All Genders,&,Not Known,4294
2324,First Attendances by Age and Gender,35-39 Female,&,Not Known,2968
2324,First Attendances by Age and Gender,35-39 Male,&,Not Known,1275
2324,First Attendances by Age and Gender,40-44 All Genders,&,Not Known,3471
2324,First Attendances by Age and Gender,40-44 Female,&,Not Known,2139
2324,First Attendances by Age and Gender,40-44 Male,&,Not Known,1274
2324,First Attendances by Age and Gender,45-49 All Genders,&,Not Known,3501
2324,First Attendances by Age and Gender,45-49 Female,&,Not Known,2181
2324,First Attendances by Age and Gender,45-49 Male,&,Not Known,1267
2324,First Attendances by Age and Gender,50-54 All Genders,&,Not Known,4451
2324,First Attendances by Age and Gender,50-54 Female,&,Not Known,2548
2324,First Attendances by Age and Gender,50-54 Male,&,Not Known,1795
2324,First Attendances by Age and Gender,55-59 All Genders,&,Not Known,4863
2324,First Attendances by Age and Gender,55-59 Female,&,Not Known,2781
2324,First Attendances by Age and Gender,55-59 Male,&,Not Known,1963
2324,First Attendances by Age and Gender,5-9 All Genders,&,Not Known,4092
2324,First Attendances by Age and Gender,5-9 Female,&,Not Known,1609
2324,First Attendances by Age and Gender,5-9 Male,&,Not Known,2397
2324,First Attendances by Age and Gender,60-64 All Genders,&,Not Known,5210
2324,First Attendances by Age and Gender,60-64 Female,&,Not Known,2803
2324,First Attendances by Age and Gender,60-64 Male,&,Not Known,2299
2324,First Attendances by Age and Gender,65-69 All Genders,&,Not Known,5185
2324,First Attendances by Age and Gender,65-69 Female,&,Not Known,2844
2324,First Attendances by Age and Gender,65-69 Male,&,Not Known,2231
2324,First Attendances by Age and Gender,70-74 All Genders,&,Not Known,5669
2324,First Attendances by Age and Gender,70-74 Female,&,Not Known,2941
2324,First Attendances by Age and Gender,70-74 Male,&,Not Known,2606
2324,First Attendances by Age and Gender,75-79 All Genders,&,Not Known,7168
2324,First Attendances by Age and Gender,75-79 Female,&,Not Known,3973
2324,First Attendances by Age and Gender,75-79 Male,&,Not Known,3036
2324,First Attendances by Age and Gender,80-84 All Genders,&,Not Known,6142
2324,First Attendances by Age and Gender,80-84 Female,&,Not Known,3453
2324,First Attendances by Age and Gender,80-84 Male,&,Not Known,2575
2324,First Attendances by Age and Gender,85-89 All Genders,&,Not Known,5241
2324,First Attendances by Age and Gender,85-89 Female,&,Not Known,3140
2324,First Attendances by Age and Gender,85-89 Male,&,Not Known,2039
2324,First Attendances by Age and Gender,90-120 All Genders,&,Not Known,4451
2324,First Attendances by Age and Gender,90-120 Female,&,Not Known,3043
2324,First Attendances by Age and Gender,90-120 Male,&,Not Known,1378
2324,First Attendances by Age and Gender,Age Unknown All Genders,&,Not Known,82
2324,First Attendances by Age and Gender,Age Unknown Female,&,Not Known,44
2324,First Attendances by Age and Gender,Age Unknown Male,&,Not Known,38
2324,All Attendances by Age and Gender,0 All Genders,100,General Surgery,4109
2324,All Attendances by Age and Gender,0 All Genders,101,Urology,3303
2324,All Attendances by Age and Gender,0 All Genders,110,Trauma & Orthopaedics,48544
2324,All Attendances by Age and Gender,0 All Genders,120,"Ear, Nose & Throat (ENT)",20960
2324,All Attendances by Age and Gender,0 All Genders,130,Ophthalmology,36843
2324,All Attendances by Age and Gender,0 All Genders,140,Oral Surgery,4796
2324,All Attendances by Age and Gender,0 All Genders,141,Restorative Dentistry,3
2324,All Attendances by Age and Gender,0 All Genders,142,Paediatric Dentistry,340
2324,All Attendances by Age and Gender,0 All Genders,143,Orthodontics,213
2324,All Attendances by Age and Gender,0 All Genders,145,Oral & Maxillo Facial Surgery,3910
2324,All Attendances by Age and Gender,0 All Genders,146,Endodontics,1
2324,All Attendances by Age and Gender,0 All Genders,150,Neurosurgery,3166
2324,All Attendances by Age and Gender,0 All Genders,160,Plastic Surgery,10178
2324,All Attendances by Age and Gender,0 All Genders,170,Cardiothoracic Surgery,1165
2324,All Attendances by Age and Gender,0 All Genders,171,Paediatric Surgery,22388
2324,All Attendances by Age and Gender,0 All Genders,180,Accident & Emergency (A&E),3772
2324,All Attendances by Age and Gender,0 All Genders,190,Anaesthetics,1607
2324,All Attendances by Age and Gender,0 All Genders,192,Critical Care Medicine,530
2324,All Attendances by Age and Gender,0 All Genders,300,General Medicine,58426
2324,All Attendances by Age and Gender,0 All Genders,301,Gastroenterology,946
2324,All Attendances by Age and Gender,0 All Genders,302,Endocrinology,2227
2324,All Attendances by Age and Gender,0 All Genders,303,Clinical Haematology,2116
2324,All Attendances by Age and Gender,0 All Genders,304,Clinical Physiology,555
2324,All Attendances by Age and Gender,0 All Genders,305,Clinical Pharmacology,4
2324,All Attendances by Age and Gender,0 All Genders,310,Audiological Medicine,9032
2324,All Attendances by Age and Gender,0 All Genders,311,Clinical Genetics,3273
2324,All Attendances by Age and Gender,0 All Genders,313,Clinical Immunology & Allergy,1164
2324,All Attendances by Age and Gender,0 All Genders,314,Rehabilitation,62
2324,All Attendances by Age and Gender,0 All Genders,315,Palliative Medicine,367
2324,All Attendances by Age and Gender,0 All Genders,317,Allergy,573
2324,All Attendances by Age and Gender,0 All Genders,320,Cardiology,5388
2324,All Attendances by Age and Gender,0 All Genders,321,Paediatric Cardiology,19079
2324,All Attendances by Age and Gender,0 All Genders,326,Acute Internal Medicine,8
2324,All Attendances by Age and Gender,0 All Genders,330,Dermatology,12519
2324,All Attendances by Age and Gender,0 All Genders,340,Respiratory Medicine (Thoracic Medicine),3908
2324,All Attendances by Age and Gender,0 All Genders,350,Infectious Diseases,159
2324,All Attendances by Age and Gender,0 All Genders,360,Genitourinary Medicine,34
2324,All Attendances by Age and Gender,0 All Genders,361,Nephrology,1335
2324,All Attendances by Age and Gender,0 All Genders,370,Medical Oncology,181
2324,All Attendances by Age and Gender,0 All Genders,371,Nuclear Medicine,54
2324,All Attendances by Age and Gender,0 All Genders,400,Neurology,724
2324,All Attendances by Age and Gender,0 All Genders,401,Clinical Neuro-physiology,1706
2324,All Attendances by Age and Gender,0 All Genders,410,Rheumatology,31
2324,All Attendances by Age and Gender,0 All Genders,420,Paediatrics,386459
2324,All Attendances by Age and Gender,0 All Genders,421,Paediatric Neurology,2165
2324,All Attendances by Age and Gender,0 All Genders,430,Geriatric Medicine,3
2324,All Attendances by Age and Gender,0 All Genders,450,Dental Medicine Specialties,29
2324,All Attendances by Age and Gender,0 All Genders,451,Special Care Dentistry,4
2324,All Attendances by Age and Gender,0 All Genders,460,Medical Ophthalmology,195
2324,All Attendances by Age and Gender,0 All Genders,501,Obstetrics,15103
2324,All Attendances by Age and Gender,0 All Genders,502,Gynaecology,1483
2324,All Attendances by Age and Gender,0 All Genders,560,Midwife episode,191137
2324,All Attendances by Age and Gender,0 All Genders,600,General Medical Practice,241
2324,All Attendances by Age and Gender,0 All Genders,700,Learning Disability (previously MH),3
2324,All Attendances by Age and Gender,0 All Genders,710,Adult Mental Illness,1194
2324,All Attendances by Age and Gender,0 All Genders,711,Child & Adolescent Psychiatry,719
2324,All Attendances by Age and Gender,0 All Genders,715,Old Age Psychiatry,7
2324,All Attendances by Age and Gender,0 All Genders,800,Clinical Oncology (previously Radiotherapy),1059
2324,All Attendances by Age and Gender,0 All Genders,810,Radiology,41089
2324,All Attendances by Age and Gender,0 All Genders,820,General Pathology,4
2324,All Attendances by Age and Gender,0 All Genders,822,Chemical Pathology,21
2324,All Attendances by Age and Gender,0 All Genders,823,Haematology,328
2324,All Attendances by Age and Gender,0 All Genders,830,Immunopathology,1
2324,All Attendances by Age and Gender,0 All Genders,900,Community Medicine,1351
2324,All Attendances by Age and Gender,0 All Genders,901,Occupational Medicine,52
2324,All Attendances by Age and Gender,0 All Genders,902,Community Health Services Dental,25
2324,All Attendances by Age and Gender,0 All Genders,903,Public Health Medicine,9
2324,All Attendances by Age and Gender,0 All Genders,950,Nursing episode,69449
2324,All Attendances by Age and Gender,0 All Genders,960,Allied Health Professional Episode,128187
2324,All Attendances by Age and Gender,0 Female,100,General Surgery,1413
2324,All Attendances by Age and Gender,0 Female,101,Urology,447
2324,All Attendances by Age and Gender,0 Female,110,Trauma & Orthopaedics,27142
2324,All Attendances by Age and Gender,0 Female,120,"Ear, Nose & Throat (ENT)",8883
2324,All Attendances by Age and Gender,0 Female,130,Ophthalmology,17263
2324,All Attendances by Age and Gender,0 Female,140,Oral Surgery,2099
2324,All Attendances by Age and Gender,0 Female,141,Restorative Dentistry,3
2324,All Attendances by Age and Gender,0 Female,142,Paediatric Dentistry,138
2324,All Attendances by Age and Gender,0 Female,143,Orthodontics,104
2324,All Attendances by Age and Gender,0 Female,145,Oral & Maxillo Facial Surgery,1674
2324,All Attendances by Age and Gender,0 Female,150,Neurosurgery,1283
2324,All Attendances by Age and Gender,0 Female,160,Plastic Surgery,4422
2324,All Attendances by Age and Gender,0 Female,170,Cardiothoracic Surgery,463
2324,All Attendances by Age and Gender,0 Female,171,Paediatric Surgery,7095
2324,All Attendances by Age and Gender,0 Female,180,Accident & Emergency (A&E),1697
2324,All Attendances by Age and Gender,0 Female,190,Anaesthetics,520
2324,All Attendances by Age and Gender,0 Female,192,Critical Care Medicine,152
2324,All Attendances by Age and Gender,0 Female,300,General Medicine,27850
2324,All Attendances by Age and Gender,0 Female,301,Gastroenterology,432
2324,All Attendances by Age and Gender,0 Female,302,Endocrinology,904
2324,All Attendances by Age and Gender,0 Female,303,Clinical Haematology,895
2324,All Attendances by Age and Gender,0 Female,304,Clinical Physiology,291
2324,All Attendances by Age and Gender,0 Female,305,Clinical Pharmacology,1
2324,All Attendances by Age and Gender,0 Female,310,Audiological Medicine,3396
2324,All Attendances by Age and Gender,0 Female,311,Clinical Genetics,1189
2324,All Attendances by Age and Gender,0 Female,313,Clinical Immunology & Allergy,470
2324,All Attendances by Age and Gender,0 Female,314,Rehabilitation,31
2324,All Attendances by Age and Gender,0 Female,315,Palliative Medicine,146
2324,All Attendances by Age and Gender,0 Female,317,Allergy,258
2324,All Attendances by Age and Gender,0 Female,320,Cardiology,1999
2324,All Attendances by Age and Gender,0 Female,321,Paediatric Cardiology,7724
2324,All Attendances by Age and Gender,0 Female,326,Acute Internal Medicine,3
2324,All Attendances by Age and Gender,0 Female,330,Dermatology,6091
2324,All Attendances by Age and Gender,0 Female,340,Respiratory Medicine (Thoracic Medicine),1781
2324,All Attendances by Age and Gender,0 Female,350,Infectious Diseases,75
2324,All Attendances by Age and Gender,0 Female,360,Genitourinary Medicine,23
2324,All Attendances by Age and Gender,0 Female,361,Nephrology,354
2324,All Attendances by Age and Gender,0 Female,370,Medical Oncology,113
2324,All Attendances by Age and Gender,0 Female,371,Nuclear Medicine,22
2324,All Attendances by Age and Gender,0 Female,400,Neurology,342
2324,All Attendances by Age and Gender,0 Female,401,Clinical Neuro-physiology,773
2324,All Attendances by Age and Gender,0 Female,410,Rheumatology,15
2324,All Attendances by Age and Gender,0 Female,420,Paediatrics,168647
2324,All Attendances by Age and Gender,0 Female,421,Paediatric Neurology,906
2324,All Attendances by Age and Gender,0 Female,430,Geriatric Medicine,1
2324,All Attendances by Age and Gender,0 Female,450,Dental Medicine Specialties,11
2324,All Attendances by Age and Gender,0 Female,451,Special Care Dentistry,2
2324,All Attendances by Age and Gender,0 Female,460,Medical Ophthalmology,114
2324,All Attendances by Age and Gender,0 Female,501,Obstetrics,7209
